File Path,Line Number,Line Containing Searched String
"working_dir/Awesome/no_no.txt",7,"CONTRIBUTE"
"working_dir/Awesome/hot.txt",592,"CONTRIBUTE"
"working_dir/Awesome/lab.txt",252,"CONTRIBUTE"
"working_dir/Awesome/cool.txt",293,"This list goes on, there are various areas where software developers are happily using C++ to provide great softwares. I highly recommend you to learn C++ and contribute great softwares to the community."
"working_dir/Awesome/Oh! Boy!!/smart",252,"CONTRIBUTE"
"working_dir/Awesome/Oh! Boy!!/dumb.txt",252,"CONTRIBUTE"
"working_dir/Awesome/Oh! Boy!!/Fine/Josh.txt",295,"CONTRIBUTE"
"working_dir/Awesome/Oh! Boy!!/Fine/Serum.txt",289,"CONTRIBUTE"
"working_dir/Hello/What.txt",142,"This list goes on, there are various areas where software developers are happily using C++ to provide great softwares. I highly recommend you to learn C++ and contribute great softwares to the community."
"working_dir/Hello/name.txt",295,"CONTRIBUTE"
"working_dir/Hello/My.txt",10,"CONTRIBUTE"
"working_dir/Hello/World/this.txt",15,"CONTRIBUTE"
"working_dir/Hello/World/ugly.txt",284,"CONTRIBUTE"
"working_dir/dd.txt",19,"Tutorialskeyboard_arrow_down Studentskeyboard_arrow_down Courses ContriButE"
"working_dir/Practice.cpp",53,"	// contribute"
"working_dir/less",1,"CONTRIBUTE"